impulse_type,impulse_horizon_seconds,underlying_threshold_points,entry_lag_seconds,strike_bucket,max_hold_seconds,spread_pct_threshold,depth_threshold,event_count,tradable_event_count,harvest_3pt_rate,avg_mfe,avg_mae,net_expectancy_after_0_5_cost,worst_day_expectancy
U_5S_30PTS,5,30.0,1,ATM_100,10,0.015,250,17,17,0.35294117647058826,3.226470588235296,-2.720588235294116,0.6676470588235324,-2.2750000000000057
U_2S_25PTS,2,25.0,1,ATM_100,10,0.005,500,4,4,0.25,2.9250000000000007,-1.9250000000000007,0.6624999999999996,0.6624999999999996
U_2S_25PTS,2,25.0,1,ATM_100,10,0.01,500,4,4,0.25,2.9250000000000007,-1.9250000000000007,0.6624999999999996,0.6624999999999996
U_2S_25PTS,2,25.0,1,ATM_100,10,0.015,500,4,4,0.25,2.9250000000000007,-1.9250000000000007,0.6624999999999996,0.6624999999999996
U_3S_30PTS,3,30.0,3,ATM_200,10,0.005,250,15,15,0.3333333333333333,2.506666666666666,-0.9833333333333343,0.6533333333333318,0.6533333333333318
U_3S_30PTS,3,30.0,3,ATM_200,10,0.01,250,16,16,0.3125,2.4812499999999993,-0.9218750000000009,0.6374999999999985,0.6374999999999985
U_5S_30PTS,5,30.0,2,ATM_200,10,0.015,500,14,14,0.2857142857142857,2.1785714285714293,-0.8107142857142848,0.6285714285714297,0.6285714285714297
U_1S_15PTS,1,15.0,0,ATM,10,0.015,250,19,19,0.42105263157894735,3.8526315789473684,-2.278947368421055,0.6263157894736828,-2.3000000000000114
U_2S_25PTS,2,25.0,0,ATM,5,0.005,250,4,4,0.25,2.6750000000000007,-1.2125000000000021,0.6249999999999964,0.6249999999999964
U_1S_10PTS,1,10.0,0,ATM,10,0.005,250,39,39,0.46153846153846156,3.947435897435897,-2.724358974358975,0.6128205128205116,-3.1750000000000114
U_1S_15PTS,1,15.0,2,ATM_100,3,0.015,250,36,36,0.16666666666666666,1.7152777777777763,-0.736111111111111,0.6111111111111099,0.1090909090909086
U_3S_30PTS,3,30.0,2,ATM_200,10,0.015,500,7,7,0.2857142857142857,1.8642857142857137,-0.9285714285714286,0.6071428571428573,0.6071428571428573
U_3S_20PTS,3,20.0,0,ATM,3,0.005,250,21,21,0.23809523809523808,2.2595238095238086,-1.230952380952385,0.6023809523809502,-2.4250000000000114
ACCEL_SPIKE,3,20.0,0,ATM_200,10,0.015,500,36,36,0.3055555555555556,2.2986111111111103,-0.8597222222222226,0.6013888888888884,0.6013888888888884
U_2S_25PTS,2,25.0,2,ATM_200,10,0.01,500,3,3,0.3333333333333333,1.966666666666665,-1.2333333333333336,0.6000000000000002,0.6000000000000002
U_5S_30PTS,5,30.0,0,ATM_100,3,0.015,500,6,6,0.16666666666666666,1.5250000000000004,-0.3333333333333333,0.6000000000000002,0.6000000000000002
U_3S_30PTS,3,30.0,0,ATM_200,10,0.01,250,12,12,0.16666666666666666,2.316666666666666,-0.9750000000000004,0.5999999999999995,0.5999999999999995
ACCEL_SPIKE,3,20.0,0,ATM,3,0.005,250,22,22,0.22727272727272727,2.2045454545454537,-1.2818181818181857,0.5999999999999979,-2.4250000000000114
U_3S_20PTS,3,20.0,1,ATM,5,0.01,500,6,6,0.3333333333333333,2.533333333333335,-1.2666666666666673,0.591666666666668,0.591666666666668
U_3S_20PTS,3,20.0,3,ATM_100,10,0.005,500,13,13,0.3076923076923077,3.2461538461538493,-1.9230769230769242,0.5846153846153866,0.554166666666665
U_1S_10PTS,1,10.0,0,ATM,5,0.005,250,39,39,0.38461538461538464,2.815384615384613,-1.6012820512820516,0.5833333333333289,-0.20000000000001705
U_1S_10PTS,1,10.0,3,ATM,3,0.005,500,3,3,0.3333333333333333,1.749999999999993,-0.7333333333333295,0.5833333333333263,0.14999999999997726
U_3S_20PTS,3,20.0,1,ATM,5,0.015,500,8,8,0.25,2.2250000000000014,-0.9500000000000004,0.575000000000001,0.575000000000001
U_1S_10PTS,1,10.0,0,ATM,5,0.015,250,55,55,0.34545454545454546,2.5499999999999994,-1.2863636363636366,0.5709090909090881,-0.20000000000001705
U_1S_15PTS,1,15.0,0,ATM,10,0.005,250,12,12,0.5,4.995833333333333,-3.1708333333333365,0.5708333333333305,-2.3000000000000114
ACCEL_SPIKE,3,20.0,0,ATM_200,10,0.01,500,35,35,0.3142857142857143,2.2928571428571427,-0.8842857142857147,0.5699999999999995,0.5699999999999996
U_1S_15PTS,1,15.0,2,ATM_100,10,0.005,250,30,30,0.3333333333333333,3.4283333333333315,-1.638333333333334,0.5699999999999983,0.5296296296296293
U_3S_30PTS,3,30.0,1,ATM_100,5,0.005,250,5,5,0.2,2.1099999999999968,-1.040000000000002,0.5699999999999974,0.5699999999999974
U_2S_25PTS,2,25.0,3,ATM,5,0.01,250,4,4,0.5,2.650000000000002,-1.3499999999999979,0.5624999999999964,0.5624999999999964
U_2S_25PTS,2,25.0,3,ATM,5,0.015,250,4,4,0.5,2.650000000000002,-1.3499999999999979,0.5624999999999964,0.5624999999999964
U_5S_30PTS,5,30.0,0,ATM_200,3,0.005,250,21,21,0.19047619047619047,1.8880952380952363,-0.7476190476190474,0.5571428571428569,-1.9499999999999886
U_3S_20PTS,3,20.0,2,ATM_100,5,0.005,250,37,37,0.1891891891891892,2.3162162162162137,-1.328378378378378,0.5527027027027013,0.25483870967741906
U_2S_25PTS,2,25.0,0,ATM_100,10,0.015,500,2,2,0.5,1.7999999999999998,-1.0000000000000018,0.5500000000000016,0.5500000000000016
U_5S_30PTS,5,30.0,0,ATM_200,3,0.01,250,32,32,0.15625,1.6515624999999987,-0.5499999999999998,0.5406249999999998,-1.9499999999999886
U_1S_10PTS,1,10.0,0,ATM,5,0.005,500,8,8,0.25,2.693749999999996,-1.6000000000000014,0.5374999999999943,-0.42857142857142855
U_2S_25PTS,2,25.0,2,ATM_200,3,0.01,500,3,3,0.3333333333333333,1.349999999999999,-0.5666666666666664,0.5333333333333327,0.5333333333333327
U_3S_30PTS,3,30.0,3,ATM_200,3,0.005,250,15,15,0.2,1.7033333333333334,-0.45333333333333364,0.5299999999999988,0.5299999999999988
U_2S_20PTS,2,20.0,1,ATM_200,10,0.005,500,17,17,0.29411764705882354,2.0382352941176456,-0.8647058823529407,0.5264705882352934,-0.30000000000001137
