date,side,atm_bucket,lag_seconds,correlation,sample_count
2026-04-29,CALL,ATM_100,-6,0.03447329648845068,21998
2026-04-29,CALL,ATM_100,-5,0.05130779712170099,21999
2026-04-29,CALL,ATM_100,-4,0.05003060042719093,22000
2026-04-29,CALL,ATM_100,-3,0.05823525153059333,22001
2026-04-29,CALL,ATM_100,-2,0.07587450882493717,22002
2026-04-29,CALL,ATM_100,-1,0.10716502289888866,22003
2026-04-29,CALL,ATM_100,0,0.11276554988480311,22004
2026-04-29,CALL,ATM_100,1,0.04181521537133024,22003
2026-04-29,CALL,ATM_100,2,0.03793991606763233,22002
2026-04-29,CALL,ATM_100,3,0.007795986792370911,22001
2026-04-29,CALL,ATM_100,4,0.010087121105382632,22000
2026-04-29,CALL,ATM_100,5,-0.003171693607059258,21999
2026-04-29,CALL,ATM_100,6,-0.005632908301875816,21998
2026-04-29,CALL,ATM_100,7,-0.002367961532782519,21997
2026-04-29,CALL,ATM_100,8,-0.0017513960865485228,21996
2026-04-29,CALL,ATM_100,9,-0.010132206847296469,21995
2026-04-29,CALL,ATM_100,10,-0.034949358636443766,21994
2026-04-29,CALL,ATM_200,-10,0.017566227637616425,21994
2026-04-29,CALL,ATM_200,-9,0.023335224756821517,21995
2026-04-29,CALL,ATM_200,-8,0.023552678821168797,21996
2026-04-29,CALL,ATM_200,-7,0.046278886328780924,21997
2026-04-29,CALL,ATM_200,-6,0.04327333189693509,21998
2026-04-29,CALL,ATM_200,-5,0.05310289078167853,21999
2026-04-29,CALL,ATM_200,-4,0.047924869365376314,22000
2026-04-29,CALL,ATM_200,-3,0.06110584609401096,22001
2026-04-29,CALL,ATM_200,-2,0.07471467557819965,22002
2026-04-29,CALL,ATM_200,-1,0.10438791767120618,22003
2026-04-29,CALL,ATM_200,0,0.10702297162497781,22004
2026-04-29,CALL,ATM_200,1,0.047412694630432836,22003
2026-04-29,CALL,ATM_200,2,0.038802209298182976,22002
2026-04-29,CALL,ATM_200,3,0.0036406354861258077,22001
2026-04-29,CALL,ATM_200,4,0.012969003700005161,22000
2026-04-29,CALL,ATM_200,5,0.002395398649339022,21999
2026-04-29,CALL,ATM_200,6,-0.015729646033019438,21998
2026-04-29,CALL,ATM_200,7,-0.0012172915128176153,21997
2026-04-29,CALL,ATM_200,8,0.000898502212060297,21996
2026-04-29,CALL,ATM_200,9,-0.018739142993777075,21995
2026-04-29,CALL,ATM_200,10,-0.029038361824875836,21994
2026-04-29,PUT,ATM,-10,0.02022285368143989,21994
2026-04-29,PUT,ATM,-9,0.019006192513607002,21995
2026-04-29,PUT,ATM,-8,0.029455931756072397,21996
2026-04-29,PUT,ATM,-7,0.04876758352766093,21997
2026-04-29,PUT,ATM,-6,0.042910662268013655,21998
2026-04-29,PUT,ATM,-5,0.04061408689991142,21999
